"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id","EWG_City","PRIMACY_AGENCY_CODE","ins","del","sub"
"South Vinemont","South Vinemont","AL","Alabama",1043,"Cullman",34.2348,-86.8642,766,766,339,"polygon",TRUE,"America/Chicago","35058 35179",1840017959,"Vinemont","AL",6,0,0
"Fort Mitchell","Fort Mitchell","AL","Alabama",1113,"Russell",32.3415,-85.0216,NA,NA,46.6,"point",FALSE,"America/Chicago","36856",1840023733,"Ft Mitchell","AL",2,0,0
"Livingston","Livingston","AL","Alabama",1119,"Sumter",32.5982,-88.1891,3333,3333,180,"polygon",TRUE,"America/Chicago","35470",1840005153,"Livingaton","AL",0,0,1
"Russellville","Russellville","AR","Arkansas",5115,"Pope",35.2761,-93.1383,34373,29318,400,"polygon",TRUE,"America/Chicago","72802 72801 72811",1840014541,"Russelville","AR",1,0,0
"McKinleyville","McKinleyville","CA","California",6023,"Humboldt",40.9489,-124.0857,NA,NA,1303.8,"polygon",FALSE,"America/Los_Angeles","95519",1840017485,"Mckinleyville","CA",0,0,0
"McFarland","McFarland","CA","California",6029,"Kern",35.6781,-119.2414,15234,15093,2184,"polygon",TRUE,"America/Los_Angeles","93250",1840020419,"Mcfarland","CA",0,0,0
"Cañon City","Canon City","CO","Colorado",8043,"Fremont",38.4429,-105.2204,27368,16539,513,"polygon",TRUE,"America/Denver","81212 81215",1840018855,"Canon City","CO",0,0,0
"East Haven","East Haven","CT","Connecticut",9009,"New Haven",41.2984,-72.8577,NA,NA,2379.2,"polygon",FALSE,"America/New_York","06513 06512",1840000584,"Avon","CT",6,0,1
"West Haven","West Haven","CT","Connecticut",9009,"New Haven",41.2739,-72.9671,54843,54843,1970,"polygon",TRUE,"America/New_York","06516 06504",1840004852,"Avon","CT",6,0,1
"Sharon","Sharon","CT","Connecticut",9005,"Litchfield",41.8785,-73.472,NA,NA,295.7,"polygon",FALSE,"America/New_York","06069",1840026224,"Avon","CT",2,0,1
"North Haven","North Haven","CT","Connecticut",9009,"New Haven",41.3818,-72.8573,NA,NA,515.1,"polygon",FALSE,"America/New_York","06473",1840003372,"Avon","CT",7,0,1
"New Haven","New Haven","CT","Connecticut",9009,"New Haven",41.3112,-72.9245,568144,131014,2706,"polygon",TRUE,"America/New_York","06519 06511 06510 06513 06512 06515 06501 06502 06503 06505 06506 06507 06508 06509 06520 06521 06530 06531 06532 06533 06534 06535 06536 06540",1840004850,"Avon","CT",5,0,1
"Greenfield Hill","Greenfield Hill","CT","Connecticut",9001,"Fairfield",41.1765,-73.2918,NA,NA,148.8,"point",FALSE,"America/New_York","06824",1840027294,"Enfield","CT",8,0,0
"Ridgefield","Ridgefield","CT","Connecticut",9001,"Fairfield",41.2712,-73.4952,NA,NA,502.4,"polygon",FALSE,"America/New_York","06877 06879",1840003358,"Enfield","CT",3,0,2
